Feature,Mean_SHAP
CreditStressScore,0.151974421747028
TotalLatePayments,0.07147487387791371
RevolvingUtilizationOfUnsecuredLines,0.06850688113463456
NumberOfDependents,0.0454533635083322
NumberRealEstateLoansOrLines,0.026950308776022433
HighUtilization,0.019393401443194278
age,0.017223960196120824
DebtRatio,0.012107228906470731
NumberOfTimes90DaysLate,0.011213261688710216
NumberOfTime30-59DaysPastDueNotWorse,0.008338626023466678
DebtToIncomeRatio,0.008064845202371254
MonthlyIncome,0.005955577599421145
NumberOfOpenCreditLinesAndLoans,0.004672155906785453
NumberOfTime60-89DaysPastDueNotWorse,0.0025580290575794467
